Rating,Name,Distance,Bred,Location,Age,Novice,Sex 
173,Al Boum Photo,Staying,French,IRE,8,N,Male
173,Cyrname,Intermedate,French,UK,8,N,Male
172,Santini,Staying,British,UK,8,N,Male 
172,Chacun Pour Soi,Minimum,French,IRE,8,N,Male
171,Clan des Obeaux,Staying,French,UK,8,N,Male
171,Altior,Intermediate,Irish,UK,10,N,Male
171,Lostintranslation,Staying,Irish,UK,8,N,Male
171,Monalee,Staying,Irish,IRE,9,N,Male
170,Delta Work,Staying, French,IRE,7,N,Male
169,Bristol de Mai,Staying,French,UK,9,N,Male
169,Min,Intermediate,French,IRE,9,N,Male
169,Defi du Seuil,Minimum,French,UK,7,N,Male
169,Politologue,Minimum,French,UK,9,N,Male
168,Kemboy,Staying,French,IRE,8,N,Male
168,Ballyoisin,Minimum,Irish,IRE,9,N,Male
167,Saint Calvados,Intermeidate,French,UK,7,N,Male
167,A Plus Tard,Minimum,French,IRE,6,N,Male
166,Native River,Staying,Irish,UK,10,N,Male
166,Real Steel,Intermediate,French,IRE,7,N,Male
166,Road To Respect,Staying,Irish,IRE,9,N,Male
165,Presenting Percy,Staying,British,IRE,9,N,Male
164,Chris’s Dream,Intermediate,Irish,IRE,8,N,Male
164,Janika,Minimum,French,UK,7,N,Male
164,Un de Sceaux,Minimum,French,IRE,12,N,Male
163,Ballyoptic,Staying,Irish,IRE,10,N,Male
163,Douvan,Intermediate,French,IRE,10,N,Male
163,Cilaos Emery,Minimum,French,IRE,8,N,Male
163,Sceau Royal,Minimum,French,UK,8,N,Male
163,Waiting Patiently,Minimum,Irish,UK,9,N,Male
162,Top Ville Ben,Staying,Irish,UK,8,N,Male
162,Riders Onthe Storm,Intermediate,Irish,UK,7,N,Male
161,Black Corton,Staying,French,UK,9,N,Male
161,Kalashnikov,Intermediate,Irish,UK,7,N,Male
161,Dolos,Minimum,French,UK,7,N,Male
161,Champ,Staying,Irish,UK,8,Y,Male
161,Vinndication,Staying,Irish,IRE,7,N,Male
160,Definitly Red,Staying,Irish,UK,11,N,Male
160,Frodon,Intermediate,French,UK,8,N,Male
